standardized_name,earliest_filing_year,ipc_class_subclass,short_title,cluster_level1,group,n_patents,frac_patents,n_uspto,frac_uspto,n_usep,frac_usep,n_triadic,frac_triadic,n_ip5,frac_ip5,n_green,frac_green,n_basic,n_applied,frac_basic,mean_distance_to_science,mean_scope,mean_family_size,mean_backward_cites,mean_npl_cites,mean_originality,mean_radicalness,mean_forward_cites_5yr,mean_generality,frac_top10pct_forward
214 TECHNOLOGIES,2013,G06K,Recognition Of Data,Information,Electronics and Telecommunication,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,1,2,,0,0,0,,,0.0078125,0.878784736623808,1
214 TECHNOLOGIES,2014,G07C,Time Or Attendance Registers,Telecommunication,Electronics and Telecommunication,1,0.25,1,0.25,0,0,0,0,0,0,0,0,0.25,0,1,2,,0,0,0,,,0,,0
214 TECHNOLOGIES,2014,H04W,Wireless Communication Networks,Telecommunication,Electronics and Telecommunication,1,0.25,1,0.25,0,0,0,0,0,0,0,0,0.25,0,1,2,,0,0,0,,,0,,0
24M TECHNOLOGIES,2020,H01M,Conversion Of Chemical Energy Into Electrical Energy,Electronics,Electronics and Telecommunication,1,0.0526315789473684,1,0.0526315789473684,1,0.0526315789473684,1,0.0526315789473684,0,0,1,0.0526315789473684,0.0526315789473684,0,1,2,,0,0,0,,,0.0048828125,0.53984342596433,1
2IC AUSTRALIA,2009,E21B,"Earth Or Rock Drilling; Obtaining Oil, Or Meltable Materials From Wells",Constructions,Physical Sciences and Engineering,1,0.0238095238095238,1,0.0238095238095238,1,0.0238095238095238,0,0,0,0,0,0,0.0238095238095238,0,1,2,0.2,0.5,0.0147559591373439,0.0179372197309417,0,0,0.0487804878048781,0,0
4°BUREAU DE L ETAT MAJOR GENERAL DES FORCES ARMEES ROYALES,2013,F41G,Weapon Sights; Aiming,Physics,Physical Sciences and Engineering,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0.0009765625,0.762131895479054,0
4°BUREAU DE L ETAT MAJOR GENERAL DES FORCES ARMEES ROYALES,2013,F41J,Targets; Target Ranges; Bullet Catchers,Physics,Physical Sciences and Engineering,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0.0009765625,0.762131895479054,0
4°BUREAU DE L ETAT MAJOR GENERAL DES FORCES ARMEES ROYALES,2013,G09B,Educational Or Demonstration Appliances,Information,Electronics and Telecommunication,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,3,,0,0,0,,,0.0009765625,0.762131895479054,0
8X8,2001,H04L,Transmission Of Digital Information,Telecommunication,Electronics and Telecommunication,1,0.0416666666666667,1,0.0416666666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0,1,2,0.0666666666666667,0.0476190476190476,0.105590062111801,0.00668896321070234,0.835710958952811,0.799744897959184,0.0276497695852535,0.715792005569229,0
8X8,2001,H04M,Telephonic Communication,Telecommunication,Electronics and Telecommunication,1,0.0416666666666667,1,0.0416666666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0,1,2,0.0666666666666667,0.0476190476190476,0.105590062111801,0.00668896321070234,0.835710958952811,0.799744897959184,0.0276497695852535,0.715792005569229,0
8X8,2001,H04W,Wireless Communication Networks,Telecommunication,Electronics and Telecommunication,1,0.0416666666666667,1,0.0416666666666667,0,0,0,0,0,0,0,0,0.0416666666666667,0,1,2,0.0666666666666667,0.0476190476190476,0.105590062111801,0.00668896321070234,0.835710958952811,0.799744897959184,0.0276497695852535,0.715792005569229,0
A C M,2012,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,1,,0,0,0,,,0,,0
A C M,2012,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,1,,0,0,0,,,0,,0
A C M,2012,A61Q,Use Of Cosmetics,Healthcare,Biotechnology and Healthcare,1,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,1,1,,0,0,0,,,0,,0
AB INITIO TECHNOLOGY,2010,G06F,Electric Digital Data Processing,Information,Electronics and Telecommunication,1,0.032258064516129,1,0.032258064516129,1,0.032258064516129,1,0.032258064516129,1,0.032258064516129,0,0,0.032258064516129,0,1,1,0.0833333333333333,0.409090909090909,0.0871226595338174,0.0302495588606,0.680196190073342,0.978260869565217,0.047361299052774,0.338278327769791,0
ABABOU KENZA,2019,G06Q,"Data Processing Systems Adapted For Administrative, Or Similar Purposes",Information,Electronics and Telecommunication,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,2,,0,0,0,,,0,,0
ABAKOUY ABDESLAM,2003,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,1987,A47B,Furniture,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,1987,F28G,Cleaning Of Internal Or External Surfaces Of Heat-Transfer Conduits,Physics,Physical Sciences and Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,2001,H04M,Telephonic Communication,Telecommunication,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,2003,A63B,Physical Training,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,2004,A63D,Bowling Games,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABALIL LAHCEN,2004,A63F,Card Or Board  Games; Video Games,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABBOTT,1994,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,0,0,0.0033112582781457,0,1,1,,0,0,0,,,0.0068359375,0.67745057375916,1
ABBOTT,1994,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,0,0,0.0033112582781457,0,1,1,,0,0,0,,,0.0068359375,0.67745057375916,1
ABBOTT,1994,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,1,0.0033112582781457,0,0,0.0033112582781457,0,1,1,,0,0,0,,,0.0068359375,0.67745057375916,1
ABBOTT,2000,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.00175131348511384,0,0,0,0,0,0,0,0,0,0,0.00175131348511384,0,1,1,,0,0,0,0.813368513632366,0.5,0.0146484375,0.703344862218962,1
ABBOTT,2000,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.00175131348511384,0,0,0,0,0,0,0,0,0,0,0.00175131348511384,0,1,1,,0,0,0,0.813368513632366,0.5,0.0146484375,0.703344862218962,1
ABBOTT,2000,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.00175131348511384,0,0,0,0,0,0,0,0,0,0,0.00175131348511384,0,1,1,,0,0,0,0.813368513632366,0.5,0.0146484375,0.703344862218962,1
ABBOTT,2001,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABBOTT,2001,A61P,Specific Therapeutic Preparations,Healthcare,Biotechnology and Healthcare,1,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABBOTT,2001,C07D,Heterocyclic Compounds,Chemistry,Physical Sciences and Engineering,1,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABBOUAM NOUREDDINE,1993,A63F,Card Or Board  Games; Video Games,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDALLAH ATMANE,2000,B60Q,Arrangement Of Signalling Or Lighting Devices,Transportation,Machinery and Transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDEDDINE MOHAMED,2009,A21B,Baking,Nutrition,Biotechnology and Healthcare,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,,0,0,0,,,0,,0
ABDEDDINE MOHAMED,2009,A21C,Doughs,Nutrition,Biotechnology and Healthcare,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,,0,0,0,,,0,,0
ABDEDDINE MOHAMED,2009,A21D,Treatment Of Flour Or Dough,Nutrition,Biotechnology and Healthcare,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,,0,0,0,,,0,,0
ABDELGHANI EL GUERMAI,1999,A61K,"Preparations For Medical, Dental, Or Toilet Purposes",Healthcare,Biotechnology and Healthcare,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDELHADI ALAMI,1996,A63B,Physical Training,Consumer,Consumer Products and Fabrication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDELHADI ALAMI,1996,A63F,Card Or Board  Games; Video Games,Consumer,Consumer Products and Fabrication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDELKABIR IMAN,2006,B01D,Separation,Physics,Physical Sciences and Engineering,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,,0,0,0,,,0,,0
ABDELLAH MHADI,2006,B60R,"Vehicles, Or Vehicle Parts",Transportation,Machinery and Transportation,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,,0,0,0,,,0,,0
ABDELLATIF ADDOU,1996,A61C,Dentistry,Healthcare,Biotechnology and Healthcare,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDELLOUCH NOUREDDINE,1994,G09F,Displaying; Advertising; Signs,Information,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDELMOULA BRIA,2003,G09B,Educational Or Demonstration Appliances,Information,Electronics and Telecommunication,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDERRAHIM MIRAOUI,1999,H01R,Electrically-Conductive Connections,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABDERRAOUF EL AFIF,2002,H04J,Multiplex Communication,Telecommunication,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABENGOA WATER S L ,2014,B01D,Separation,Physics,Physical Sciences and Engineering,1,0.111111111111111,1,0.111111111111111,0,0,0,0,0,0,1,0.111111111111111,0.111111111111111,0,1,1,,0,0,0,,,0,,0
ABENGOA WATER S L ,2014,C02F,"Treatment Of Water, Waste Water, Sewage, Or Sludge",Chemistry,Physical Sciences and Engineering,1,0.111111111111111,1,0.111111111111111,0,0,0,0,0,0,1,0.111111111111111,0.111111111111111,0,1,1,,0,0,0,,,0,,0
ABENGOA WATER S L ,2016,C01F,"Compounds Of The Metals Beryllium, Magnesium, Aluminium, Calcium, Strontium, Barium, Radium, Thorium, Or Of The Rare-Earth Metals",Chemistry,Physical Sciences and Engineering,1,0.333333333333333,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0,3,,0,0,0,,,0,,0
ABENGOA WATER S L ,2016,C02F,"Treatment Of Water, Waste Water, Sewage, Or Sludge",Chemistry,Physical Sciences and Engineering,1,0.333333333333333,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,0,3,,0,0,0,,,0,,0
ABERKANE KHADIJA,2021,A45D,Hairdressing Or Shaving,Consumer,Consumer Products and Fabrication,1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,1,2,,0,0,0,,,0,,0
ABERKANE KHADIJA,2021,G01J,"Measuring Characteristics Of Infra-Red, Visible Or Ultra-Violet Light",Information,Electronics and Telecommunication,1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,1,2,,0,0,0,,,0,,0
ABERKANE KHADIJA,2021,G01N,Analysing Chemical Or Physical Properties Of Materials,Information,Electronics and Telecommunication,1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,1,2,,0,0,0,,,0,,0
ABID MOHAMMED,2007,E02B,Hydraulic Engineering,Constructions,Physical Sciences and Engineering,1,0.25,0,0,0,0,0,0,0,0,1,0.25,0.25,0,1,2,,0,0,0,,,0.0029296875,0.733904788239089,1
ABID MOHAMMED,2007,E03F,Sewers; Cesspools,Constructions,Physical Sciences and Engineering,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0.2,0,1,1,,0,0,0,,,0.001953125,0.635109912899212,0
ABID MOHAMMED,2007,F03B,Machines Or Engines For Liquids,Machines,Machinery and Transportation,2,0.45,0,0,0,0,0,0,0,0,2,0.45,0.45,0,1,1.55555555555556,,0,0,0,,,0.00249565972222222,0.689995954754699,0.555555555555556
ABID MOHAMMED,2007,F03D,Wind Motors,Machines,Machinery and Transportation,2,0.45,0,0,0,0,0,0,0,0,2,0.45,0.45,0,1,1.55555555555556,,0,0,0,,,0.00249565972222222,0.689995954754699,0.555555555555556
ABID MOHAMMED,2007,F03G,"Spring, Weight, Inertia, Or Like Motors",Machines,Machinery and Transportation,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0.2,0,1,1,,0,0,0,,,0.001953125,0.635109912899212,0
ABID MOHAMMED,2016,B60L,Propulsion Of Electrically-Propelled Vehicles,Transportation,Machinery and Transportation,1,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0.25,0,4,,0,0,0,,,0,,0
ABID MOHAMMED,2016,B62D,Motor Vehicles; Trailers,Transportation,Machinery and Transportation,1,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0.25,0,4,,0,0,0,,,0,,0
ABLOUH BRAHIM,2004,G03B,"Apparatus  For Taking,Preojecting Or Viewing Photographs",Physics,Physical Sciences and Engineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOU MOUSLIME MOHAMED,2001,B60R,"Vehicles, Or Vehicle Parts",Transportation,Machinery and Transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOUDRAR BRAHIM,2000,A63F,Card Or Board  Games; Video Games,Consumer,Consumer Products and Fabrication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOUNNAIM ABDENNAIM,2003,H01F,Magnets; Inductances; Transformers,Electronics,Electronics and Telecommunication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOUTAJEDYNE ABDELMAJID,1999,G08B,Signalling Or Calling Systems; Order Telegraphs,Telecommunication,Electronics and Telecommunication,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOUTAJEDYNE ABDELMAJID,2002,B60R,"Vehicles, Or Vehicle Parts",Transportation,Machinery and Transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
ABOUTIKA YOUNESSE,2002,H02J,Systems For Supplying Or Distributing Electric Power,Electronics,Electronics and Telecommunication,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,,0
